symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
CLUSDT,2026-04-02 14:00,2026-04-02 14:35,2026-04-04 14:00,SHORT,78.20540240121933,106.94528425283342,111.99,4,False,670.0,-31.604568394160474,-0.04717099760322459,0.0053792390833555725,timeout,79.94759787358306,5.658001259332546,2.2160993244084146,1.3597117475627185
ZECUSDT,2026-04-04 12:00,2026-04-04 13:25,2026-04-06 03:30,LONG,79.92434634264336,249.8843007038576,255.49,10,True,1000.0,22.433179196742813,0.022433179196742814,0.039200939268895736,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,76.36801110906916,4.837654371472975,2.0660885672131304,1.6055027317314188
LABUSDT,2026-04-04 13:00,2026-04-04 16:10,2026-04-04 18:45,LONG,91.37715952911978,0.21652536108446055,0.22193,10,True,1000.0,24.960766205263315,0.024960766205263316,0.040247659082023685,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,58.27312573249799,9.175188760393766,2.2553998449065262,1.9447482707940693
LABUSDT,2026-04-05 17:00,2026-04-05 17:10,2026-04-05 18:45,LONG,76.22828762534759,0.23587076739651144,0.24529,10,True,1000.0,39.933870175842216,0.03993387017584222,0.05566282226664235,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,46.27326277653213,6.176925722145814,4.519679597453694,1.164012485306398
CLUSDT,2026-04-05 23:00,2026-04-06 00:40,2026-04-07 21:30,SHORT,78.45191090768611,111.21260563776528,109.29,10,True,1000.0,17.28765931469552,0.01728765931469552,0.037878850276076736,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,32.66844462004082,5.46999468932555,11.19627248150746,1.891847243063656
ETHUSDT,2026-04-06 00:00,2026-04-06 02:10,2026-04-07 23:55,LONG,80.6499930251443,2143.820469168318,2239.14,10,True,1000.0,44.46245952146373,0.04446245952146373,0.06025669252136409,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,39.69401840929843,4.072660720097743,3.6259223244846353,1.4738492820739775
ZECUSDT,2026-04-06 03:00,2026-04-06 03:05,2026-04-07 05:25,LONG,78.79380510004724,258.430035668781,261.61,10,True,1000.0,12.304933221054279,0.01230493322105428,0.03575421992767708,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,78.06434038750328,5.682970590529691,1.969426346494117,1.3848188384112197
LABUSDT,2026-04-06 06:00,2026-04-06 12:10,2026-04-06 14:05,LONG,71.93013478039292,0.27388427956045136,0.28145,10,True,1000.0,27.6237849492151,0.0276237849492151,0.04828944713721495,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,56.06046230425299,9.327077134355678,2.0027554603961604,1.3029812645036136
SUIUSDT,2026-04-06 11:00,2026-04-06 22:50,2026-04-07 23:20,SHORT,70.7030943971669,0.8762296399504497,0.9638526039454948,10,True,1000.0,-100.00000000000016,-0.10000000000000016,0.020462261412959766,hard-stop,57.446356230961705,4.658865091631708,3.8653442992703075,1.1083770380199682
LABUSDT,2026-04-07 21:00,2026-04-07 23:20,2026-04-08 02:45,LONG,85.83751141826781,0.402409102601159,0.3621681923410431,5,False,770.0,-76.99999999999999,-0.09999999999999998,0.019807945067140464,hard-stop,54.774758134290735,20.655557590184955,4.546396318263835,1.5866308516900607
SUIUSDT,2026-04-07 22:00,2026-04-07 22:05,2026-04-07 23:50,LONG,72.05827204211855,0.9221556907070246,0.9602,10,True,1000.0,41.255841802382115,0.041255841802382114,0.058281166439225825,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,71.34118999119913,5.0821467688937565,1.8100407415383826,1.325018075015112
ZECUSDT,2026-04-07 22:00,2026-04-07 23:00,2026-04-08 14:05,LONG,81.93258152122306,324.7474829948135,335.62,10,True,1000.0,33.47991154518099,0.03347991154518099,0.04650541665761808,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,69.6956464883669,16.883830709043302,7.550128391700535,1.4296087828199113
BTCUSDT,2026-04-07 23:00,2026-04-07 23:20,2026-04-09 23:00,LONG,81.53493293699131,72028.71807955798,71856.1,10,True,1000.0,-2.396517446934279,-0.002396517446934279,0.01526171712826864,timeout,76.45518151814599,4.745494185027581,3.111942602539695,1.408673421017109
CLUSDT,2026-04-07 23:00,2026-04-07 23:05,2026-04-09 23:00,SHORT,93.2011372213989,94.03118611591191,95.65,7,False,910.0,-15.666298548061052,-0.01721571269017698,0.031066141315190605,timeout,75.1555188153364,20.426287744227366,3.347761015689258,1.5912129034659162
ETHUSDT,2026-04-07 23:00,2026-04-07 23:10,2026-04-09 23:00,LONG,82.31329341607477,2246.492235497616,2195.99,8,False,950.0,-21.356460959282227,-0.02248048522029708,0.01179962435815507,timeout,75.65840737660274,6.8356789756611445,3.942407669236894,1.337812456277264
SOLUSDT,2026-04-07 23:00,2026-04-07 23:25,2026-04-09 23:00,LONG,85.5048434722798,86.67405666545054,83.89,6,False,850.0,-27.302843049877154,-0.03212099182338489,0.005952684740959217,timeout,85.42001504280658,7.506450856204556,2.2911455125048534,1.4970466754233385
XRPUSDT,2026-04-07 23:00,2026-04-07 23:20,2026-04-09 23:00,LONG,83.9004492826285,1.3835833598660876,1.3486,8,False,950.0,-24.020375524030463,-0.025284605814768907,0.008901986314076805,timeout,71.16882768108181,5.594405594405593,3.519769285600156,1.449444221529661
LABUSDT,2026-04-08 16:00,2026-04-08 16:10,2026-04-08 18:10,LONG,70.94971478845211,0.38093690019002896,0.40177,10,True,1000.0,54.68910940257702,0.05468910940257702,0.09201812634188224,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,44.710675403920824,18.503458986305247,4.352718732649576,1.1353633425231402
LABUSDT,2026-04-09 17:00,2026-04-09 17:30,2026-04-10 03:40,LONG,75.18726516484183,0.42689491424141446,0.45332,10,True,1000.0,61.90068065238609,0.061900680652386096,0.11683223223029679,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,48.10330713627252,12.680714589962664,2.657194092438062,1.3026024424296077
ZECUSDT,2026-04-09 19:00,2026-04-10 15:10,2026-04-11 19:00,LONG,85,393.20130465367964,376.21,1,False,220.0,-9.506802189026114,-0.04321273722284597,0.0020312632152221,timeout,80.26764262733765,21.186722912966246,4.256942972359285,2.251774171407543
SOLUSDT,2026-04-12 02:00,2026-04-12 13:30,2026-04-14 02:00,SHORT,70.19047857276189,81.6361752005127,85.89,6,False,850.0,-44.291039734324805,-0.052107105569793886,0.004975431535285121,timeout,38.513499760300896,5.1751495178811115,5.476859859739906,1.1898726197666816
SUIUSDT,2026-04-12 02:00,2026-04-12 13:35,2026-04-14 02:00,SHORT,73.41210738097928,0.9017615412484201,0.9539,6,False,850.0,-49.14568642779821,-0.05781845462093907,0.006167418983870826,timeout,60.583580628830035,5.732273028495699,5.544125200369327,1.1932225354307875
LABUSDT,2026-04-12 19:00,2026-04-14 02:30,2026-04-14 02:50,LONG,77.02206779880669,0.6790468407785436,0.70187,10,True,1000.0,33.61058155471143,0.03361058155471143,0.09497600953052578,profit-giveback,82.87415535573281,30.69880674804554,3.8875659938940115,1.5447061695618143
LABUSDT,2026-04-13 10:00,2026-04-14 02:30,2026-04-14 03:10,LONG,76.22304216459302,0.6718642963811331,0.70016,10,True,1000.0,42.11520655477041,0.04211520655477041,0.10668181655869224,profit-giveback,44.83196534023191,20.13837894290237,2.615101420226717,1.4446790342916995
CLUSDT,2026-04-13 17:00,2026-04-13 18:10,2026-04-14 15:00,SHORT,78.05396181997973,93.75734527309503,90.07,10,True,1000.0,39.32860153361412,0.039328601533614116,0.056073956208780314,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,61.23974240790887,4.085070541166556,2.087109113980946,1.544788086577143
ETHUSDT,2026-04-13 23:00,2026-04-13 23:20,2026-04-15 23:00,LONG,81.92173268544096,2375.9694660977193,2359.32,10,True,1000.0,-7.0074411036368005,-0.0070074411036368,0.017016436650039823,timeout,67.44820856703424,5.794979613724767,4.296060045277984,1.2638420683638247
SUIUSDT,2026-04-13 23:00,2026-04-14 14:00,2026-04-15 23:00,LONG,74.93777877066157,0.964952315250336,0.9599,8,False,950.0,-4.974027640499547,-0.005235818568946892,0.009169038313948892,timeout,61.42065587310574,4.433291509828523,3.6997212834289783,1.129118593642999
LABUSDT,2026-04-14 04:00,2026-04-14 07:00,2026-04-14 11:35,SHORT,71.42521237762523,0.5577152299651843,0.54777,7,False,910.0,16.22720482078765,0.01783209320965676,0.0560236269092648,profit-giveback,55.83012541299655,25.55065413783727,2.30905990842478,1.4470745684894344
CLUSDT,2026-04-14 14:00,2026-04-14 14:05,2026-04-14 23:50,SHORT,71.01677548683236,89.23545473341065,87.32,10,True,1000.0,21.465175911671466,0.021465175911671467,0.05407553250920963,profit-giveback,37.84059294439014,4.062326099053985,2.3933532236887753,1.238008043588818
SOLUSDT,2026-04-16 19:00,2026-04-16 19:25,2026-04-18 19:00,LONG,71.18286139058408,89.57162715186118,86.18,8,False,950.0,-35.97172337625848,-0.037864971975008925,0.01270907858142176,timeout,34.20268618243993,4.172758969744679,1.834587317361406,1.551010067026407
LABUSDT,2026-04-17 09:00,2026-04-17 09:10,2026-04-18 01:20,LONG,88.09560447911723,0.5721481455346105,0.61756,10,True,1000.0,79.37079726607708,0.07937079726607707,0.0992782287397163,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,45.872073705856984,14.387259312578735,6.155289125791685,1.4650553843610845
CLUSDT,2026-04-17 13:00,2026-04-17 13:05,2026-04-19 13:00,SHORT,98.97615580633418,81.27358028528494,85.21,9,False,980.0,-47.465502404096924,-0.048434186126629517,0.026620954530246845,timeout,78.62984384252749,8.833879383569956,9.719699622160686,1.8376218537357603
ETHUSDT,2026-04-17 14:00,2026-04-17 14:40,2026-04-19 14:00,LONG,89.43668576489183,2454.4506053121995,2331.11,4,False,670.0,-33.66871811570322,-0.05025181808313914,0.0038336052342775764,timeout,52.6381697840597,4.629192640896954,5.928848954484384,1.6741591074810414
SUIUSDT,2026-04-17 14:00,2026-04-18 10:00,2026-04-19 02:40,SHORT,80.8160948590704,0.9753415667222477,0.9507,10,True,1000.0,25.264550966548725,0.025264550966548727,0.03418450300882396,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,49.9818099330252,5.831721470019334,3.1647589264188647,1.3471655475953834
XAGUSDT,2026-04-17 14:00,2026-04-17 14:20,2026-04-19 14:00,LONG,87.73338080988852,82.7254583269604,80.71,5,False,770.0,-18.75967740941182,-0.02436321741482055,0.004043999027691908,timeout,52.3549485860223,4.100946372239759,2.9785250439916635,1.5675537683660783
XRPUSDT,2026-04-17 14:00,2026-04-17 14:35,2026-04-19 14:00,LONG,78.13838440439797,1.4997917415813553,1.4352,7,False,910.0,-39.191097810058785,-0.04306714045061405,0.006273043221804167,timeout,39.40665120526383,4.188235294117648,4.131780270601853,1.3569273796399561
