symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,hedge_closed,hedge_close_price,realized_hedge_pnl,adx,range_pct,volume_ratio,atr_expansion
1000000BOBUSDT,2026-03-02 12:00,2026-03-02 16:00,2026-03-11 12:00,LONG,73.75854489579476,0.013104202962777199,0.01316,3,False,770.0,-5.447270066311764,-0.007074376709495797,0.0,failed-breakout-back-inside-range,True,220.0,550.0,False,0,0,31.37304000943634,20.141620771046416,3.9285411585680063,1.6619210257447479
TRUTHUSDT,2026-03-22 16:00,2026-03-22 20:00,2026-03-26 20:00,HEDGED,77.01238770298488,0.010332,0.009492,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,31.67428186184395,21.2446767324816,2.495562673738659,1.4941528319517785
MITOUSDT,2026-04-02 12:00,2026-04-02 16:00,2026-04-05 16:00,LONG,70.79864198211426,0.042705735348027,0.04059,8,False,1170.0,-42.448575848710526,-0.036280834058726945,0.0,failed-breakout-back-inside-range,True,220.0,950.0,False,0,0,35.49386899018902,21.177038109020753,2.5411068019909386,1.1722065173252527
1000000BOBUSDT,2026-04-03 20:00,2026-04-04 00:00,2026-04-08 00:00,HEDGED,70.68808524384545,0.01129,0.01267,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,48.3610321434296,31.2666076173605,4.5938304351372174,1.4140566174260876
MITOUSDT,2026-04-04 12:00,2026-04-04 16:00,2026-04-05 16:00,LONG,70.42533047945454,0.042211522893941825,0.04059,8,False,1170.0,-58.49351275752757,-0.04999445534831416,0.0,failed-breakout-back-inside-range,True,220.0,950.0,True,0.042614,-22.000000000000014,49.344591447184335,23.618998451213233,2.288711224393642,1.483464173338088
TRUTHUSDT,2026-04-10 16:00,2026-04-10 20:00,2026-04-14 20:00,HEDGED,71.4443175045764,0.010399,0.009635,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,63.01761754833513,17.770939513414756,2.032377109873533,1.2247890918406517
IOUSDT,2026-04-17 08:00,2026-04-17 12:00,2026-04-18 08:00,LONG,72.19703330859949,0.12132340138742125,0.1223,9,False,1200.0,-14.111442397901548,-0.011759535331584624,0.012473217512293543,group-profit-giveback,True,220.0,980.0,True,0.12463,-22.000000000000014,39.51678797681775,21.09443954104149,2.6981038813680347,1.3176478153125144
1000000BOBUSDT,2026-04-17 12:00,2026-04-17 16:00,2026-04-21 16:00,HEDGED,71.66794391487716,0.01585,0.01406,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,71.76678987405107,35.9621451104101,2.6568632941092973,1.3733742052760691
1000XECUSDT,2026-04-17 16:00,2026-04-17 20:00,2026-04-21 20:00,HEDGED,71.2878440012221,0.00749,0.00714,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,49.487903668039884,11.481975967957284,1.9993621320834745,1.142880583797421
IOUSDT,2026-04-19 08:00,2026-04-19 12:00,2026-04-23 12:00,HEDGED,73.50820257385774,0.1202,0.12,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,50.927744048343584,27.620632279534114,2.001202760056449,1.645082638072696
MITOUSDT,2026-04-19 08:00,2026-04-19 12:00,2026-04-23 12:00,HEDGED,70.33696122226083,0.03903,0.03739,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,48.54964477868865,16.653856008198815,2.1272689413626056,1.351090619047699
MITOUSDT,2026-04-27 08:00,2026-04-27 12:00,2026-04-28 12:00,LONG,76.55137201529891,0.044322626611088226,0.04507,9,False,1200.0,-5.475123720436155,-0.0045626031003634625,0.0035103735100370163,group-profit-giveback,True,220.0,980.0,True,0.046354,-22.000000000000018,65.41321971836162,18.319886093972467,2.4736441744883666,1.2872772864183513
MITOUSDT,2026-04-29 08:00,2026-04-29 12:00,2026-04-30 12:00,LONG,77.14525155838305,0.04770310721132848,0.04666,6,False,1070.0,-24.0963196860546,-0.022519924940237943,0.0,failed-breakout-back-inside-range,True,220.0,850.0,False,0,0,82.27471222991912,25.153778558875224,2.0995354481069164,1.4952247003865775
1000000BOBUSDT,2026-05-03 20:00,2026-05-04 00:00,2026-05-08 00:00,HEDGED,81.2631640505251,0.01733,0.01873,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,36.772740646164394,64.91633006347374,75.66091978131055,1.7836935489395427
IOUSDT,2026-05-06 08:00,2026-05-06 12:00,2026-05-10 12:00,HEDGED,74.80362585618454,0.1631,0.1588,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,35.508464702545425,63.45800122624158,89.45259807328313,1.6174451569164519
TRUTHUSDT,2026-05-10 04:00,2026-05-10 08:00,2026-05-10 20:00,LONG,76.01905517396291,0.0127797128166384,0.013209,10,True,1220.0,11.591301269516393,0.009501066614357699,0.07941207602198785,group-profit-lock filled=10 peak=96.88u lock=0.60,True,220.0,1000.0,True,0.013255000000000001,-22.00000000000002,51.920076923257376,26.456431535269726,10.905664480813465,1.3059707614174358
