symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,hedge_closed,hedge_close_price,realized_hedge_pnl,adx,range_pct,volume_ratio,atr_expansion
MITOUSDT,2026-04-02 06:00,2026-04-02 07:00,2026-04-02 16:00,LONG,71.11731486550362,0.03822947646789931,0.03965,10,True,1220.0,15.157807622437105,0.012424432477407463,0.05123235490927256,group-profit-lock filled=10 peak=62.50u lock=0.60,True,220.0,1000.0,True,0.04088700000000001,-22.00000000000003,45.153627886495826,8.878127522195312,1.9482059933486338,1.4315092077488123
TRUTHUSDT,2026-04-02 19:00,2026-04-02 20:00,2026-04-03 15:00,SHORT,70.28352122919915,0.009023648004035531,0.009032,3,False,770.0,-2.8228220238108626,-0.0036660026283257957,0.0,failed-breakout-back-inside-range,True,220.0,550.0,False,0,0,40.794028639137494,11.371603856266441,1.628575312549539,1.2898989508878789
1000000BOBUSDT,2026-04-03 09:00,2026-04-03 10:00,2026-04-04 10:00,HEDGED,70.05282212642643,0.01173,0.01137,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,62.67533794444734,25.745950554134694,8.34675751264618,1.3216903080456461
1000XECUSDT,2026-04-04 19:00,2026-04-04 20:00,2026-04-05 02:00,LONG,72.21125611563866,0.007078723443259742,0.00691,4,False,890.0,-13.451763234620174,-0.015114340713056375,0.0,failed-breakout-back-inside-range,True,220.0,670.0,False,0,0,56.133265878162256,8.011444921316164,2.7802491881988973,1.2453293786966992
MITOUSDT,2026-04-05 16:00,2026-04-05 17:00,2026-04-05 21:00,LONG,76.70925250419081,0.04245010460442399,0.0389,9,False,1200.0,-103.95745439866212,-0.0866312119988851,0.0,group-hard-stop,True,220.0,980.0,True,0.044561,-22.000000000000036,43.642555174590875,11.577388299185385,5.457603865954924,1.4611476195241555
1000XECUSDT,2026-04-07 22:00,2026-04-07 23:00,2026-04-08 23:00,LONG,71.59619765429959,0.00708,0.00686,1,False,440.0,0.0,0.0,0.0,stagnation-exit filled=1 peak=0.1%,True,220.0,220.0,False,0,0,39.810032146830316,5.79096045197741,2.6837628243902993,1.2290220392696591
TRUTHUSDT,2026-04-11 01:00,2026-04-11 02:00,2026-04-12 02:00,HEDGED,70.26437109513503,0.010027,0.009932,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,37.33850139431651,12.057444898773314,2.4674970150484996,1.3041328505564782
MITOUSDT,2026-04-13 15:00,2026-04-13 16:00,2026-04-13 22:00,SHORT,73.3589918502319,0.035324687933364136,0.03638,4,False,890.0,-18.24820099222297,-0.020503596620475247,0.0,failed-breakout-back-inside-range,True,220.0,670.0,False,0,0,38.412491419855634,10.501523967858137,8.377082597483522,1.515115781359866
IOUSDT,2026-04-14 08:00,2026-04-14 09:00,2026-04-15 09:00,HEDGED,70.62725561931211,0.1042,0.1016,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,55.932737132354156,9.980806142034556,1.9795624482694891,1.3422326841639627
TRUTHUSDT,2026-04-14 09:00,2026-04-14 10:00,2026-04-17 10:00,LONG,70.31164026425581,0.010034,0.009734,1,False,440.0,0.0,0.0,0.0,weak-trend-timeout filled=1 peak=2.4%,True,220.0,220.0,False,0,0,73.66044065221719,12.168626669324297,2.2054629427471073,1.145593727328254
1000000BOBUSDT,2026-04-14 14:00,2026-04-14 15:00,2026-04-14 21:00,LONG,70.31850527427011,0.013065523202546237,0.01266,3,False,770.0,-12.810446929986318,-0.016636944064917294,0.0,failed-breakout-back-inside-range,True,220.0,550.0,False,0,0,53.56864832535808,12.393493415956614,1.994719335673756,1.23120597412165
IOUSDT,2026-04-16 10:00,2026-04-16 11:00,2026-04-17 23:00,LONG,76.87473081742547,0.11141191039287,0.119,10,True,1220.0,46.10842377957826,0.03779378998326087,0.07090088398386775,group-profit-lock filled=10 peak=86.50u lock=0.60,True,220.0,1000.0,True,0.12078,-22.00000000000001,42.50020509165392,10.38251366120218,2.4766105458258534,1.1027577718511528
1000XECUSDT,2026-04-16 13:00,2026-04-16 14:00,2026-04-17 02:00,LONG,70.00963766358753,0.007241099932542124,0.00721,6,False,1070.0,-5.80754329184821,-0.005427610553129169,0.0018542437125886873,failed-breakout-back-inside-range,True,220.0,850.0,False,0,0,59.0299610420485,5.042016806722691,2.979606108199753,1.1903463818433828
1000000BOBUSDT,2026-04-16 14:00,2026-04-16 15:00,2026-04-17 10:00,LONG,71.38212894723006,0.014501775893067058,0.01512,10,True,1220.0,20.630924066927548,0.016910593497481596,0.06043267973281943,group-profit-lock filled=10 peak=73.73u lock=0.60,True,220.0,1000.0,True,0.015422,-22.000000000000007,67.68468774002369,13.480741797432236,2.1016109261124214,1.2168322861867051
1000000BOBUSDT,2026-04-17 14:00,2026-04-17 15:00,2026-04-18 15:00,HEDGED,85,0.015370000000000002,0.01537,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,71.39603288813119,29.60312296681848,3.9395900421536227,1.9010982584241378
MITOUSDT,2026-04-17 16:00,2026-04-17 17:00,2026-04-18 11:00,LONG,70.38722608575254,0.03937888886608913,0.0387,10,True,1220.0,-17.35367317579144,-0.014224322275238885,0.013558786170087466,failed-breakout-back-inside-range,True,220.0,1000.0,False,0,0,33.86925078839631,10.23784901758014,2.034321791386663,1.317068094552712
MITOUSDT,2026-04-18 16:00,2026-04-18 17:00,2026-04-19 17:00,HEDGED,71.533765643506,0.0399,0.03772,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,29.464355093003054,12.982456140350887,2.960389937504173,1.4595390458208017
TRUTHUSDT,2026-04-19 07:00,2026-04-19 08:00,2026-04-19 14:00,SHORT,70.63919637997498,0.00952679118972846,0.009611,6,False,1070.0,-16.24030248119823,-0.015177852786166571,0.0,failed-breakout-back-inside-range,True,220.0,850.0,False,0,0,38.516984449287634,9.832134292565954,3.8899028629647776,1.3658046235900327
