symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,hedge_closed,hedge_close_price,realized_hedge_pnl,adx,range_pct,volume_ratio,atr_expansion
LABUSDT,2026-04-04 13:00,2026-04-04 13:05,2026-04-04 15:05,HEDGED,91.37715952911978,0.20926,0.20586,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,58.27312573249799,9.175188760393766,2.2553998449065262,1.9447482707940693
LABUSDT,2026-04-05 17:00,2026-04-05 17:05,2026-04-05 18:45,LONG,76.22828762534759,0.23562155459662337,0.24529,10,True,1220.0,29.071100919987984,0.02382877124589179,0.029344173375711907,group-full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,True,220.0,1000.0,False,0,0,46.27326277653213,6.176925722145814,4.519679597453694,1.164012485306398
LABUSDT,2026-04-06 06:00,2026-04-06 06:05,2026-04-06 08:05,HEDGED,71.93013478039292,0.26214,0.26309,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,56.06046230425299,9.327077134355678,2.0027554603961604,1.3029812645036136
LABUSDT,2026-04-07 21:00,2026-04-07 21:05,2026-04-07 23:05,HEDGED,85.83751141826781,0.38227,0.38374,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,54.774758134290735,20.655557590184955,4.546396318263835,1.5866308516900607
LABUSDT,2026-04-08 16:00,2026-04-08 16:05,2026-04-08 16:20,LONG,70.94971478845211,0.3710299753750228,0.37854,5,False,990.0,0.4343771902953417,0.00043876483868216334,0.006783921134194135,group-profit-giveback,True,220.0,770.0,False,0,0,44.710675403920824,18.503458986305247,4.352718732649576,1.1353633425231402
LABUSDT,2026-04-09 17:00,2026-04-09 17:05,2026-04-09 17:35,LONG,75.18726516484183,0.4172033167127975,0.41422,5,False,990.0,-13.835109773250023,-0.013974858356818205,0.0,failed-breakout-back-inside-range,True,220.0,770.0,False,0,0,48.10330713627252,12.680714589962664,2.657194092438062,1.3026024424296077
LABUSDT,2026-04-12 19:00,2026-04-12 19:05,2026-04-12 21:05,HEDGED,77.02206779880669,0.58328,0.5761,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,82.87415535573281,30.69880674804554,3.8875659938940115,1.5447061695618143
LABUSDT,2026-04-13 10:00,2026-04-13 10:05,2026-04-13 12:05,HEDGED,76.22304216459302,0.61281,0.57376,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,44.83196534023191,20.13837894290237,2.615101420226717,1.4446790342916995
LABUSDT,2026-04-14 04:00,2026-04-14 04:05,2026-04-14 06:05,HEDGED,71.42521237762523,0.66194,0.6432,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,55.83012541299655,25.55065413783727,2.30905990842478,1.4470745684894344
LABUSDT,2026-04-17 09:00,2026-04-17 09:05,2026-04-17 12:05,LONG,88.09560447911723,0.5678090853805349,0.5749,7,False,1130.0,3.763040240402794,0.003330124106551145,0.010453178178907757,group-profit-giveback,True,220.0,910.0,False,0,0,45.872073705856984,14.387259312578735,6.155289125791685,1.4650553843610845
LABUSDT,2026-04-19 14:00,2026-04-19 14:05,2026-04-19 14:35,LONG,70.96974474300589,0.6595852748670685,0.66435,5,False,990.0,-1.7318752393974828,-0.0017493689286843261,0.005828110165826521,group-profit-giveback,True,220.0,770.0,False,0,0,36.185123836257304,12.433323484129835,2.158301158466724,1.2580540020481428
LABUSDT,2026-04-22 02:00,2026-04-22 02:05,2026-04-22 02:35,LONG,76.9947579179055,0.6408745267735294,0.6182,4,False,890.0,-17.749699813680262,-0.019943482936719395,0.0,failed-breakout-back-inside-range,True,220.0,670.0,False,0,0,37.58178281276845,11.583254642744729,3.201864179084468,1.1619895187562645
LABUSDT,2026-04-23 08:00,2026-04-23 08:05,2026-04-23 08:50,LONG,75.12038714154497,0.6323341392307086,0.6331,2,False,620.0,-1.1257171071987544,-0.001815672753546378,0.0,failed-breakout-back-inside-range,True,220.0,400.0,False,0,0,65.30292219877323,7.764518695306295,2.297269810549439,1.1399926074682822
LABUSDT,2026-04-24 03:00,2026-04-24 03:05,2026-04-24 03:40,LONG,77.86899339665636,0.8750128081430302,0.8653,3,False,770.0,-8.365466262254202,-0.010864241899031431,0.0,failed-breakout-back-inside-range,True,220.0,550.0,False,0,0,82.65040544788386,19.217746643315817,3.13388460653863,1.2221055119854727
LABUSDT,2026-04-25 20:00,2026-04-25 20:05,2026-04-25 22:05,HEDGED,79.85736726521088,0.7928,0.6847,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,False,0,0,36.8941840353616,40.33804238143289,11.673107300065448,1.734821863355177
LABUSDT,2026-04-27 16:00,2026-04-27 16:05,2026-04-27 16:30,SHORT,78.22804276761065,0.6310860905138507,0.6266,5,False,990.0,0.06260444578520019,6.323681392444464e-05,0.0005064959255919306,group-profit-giveback,True,220.0,770.0,False,0,0,61.85539475996501,17.045454545454554,2.0416801866601877,1.3203290983033462
