symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,adx,range_pct,volume_ratio,atr_expansion
MITOUSDT,2026-04-02 08:00,2026-04-02 08:05,2026-04-02 08:25,LONG,71.55577645061311,0.03886300315266938,0.03887,7,False,510.0,-0.640854117122962,-0.001256576700241102,0.0019615040201704627,group-profit-giveback,True,30.0,480.0,34.462496072135224,7.009222661396564,4.07147067085454,1.323251469008541
1000000BOBUSDT,2026-04-02 17:00,2026-04-02 17:05,2026-04-02 19:05,HEDGED,72.4741719752253,0.01119,0.01109,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,44.96734191245646,6.344950848972301,5.176037224383055,1.1468533074566791
1000000BOBUSDT,2026-04-03 08:00,2026-04-03 08:05,2026-04-03 10:05,HEDGED,88.61720067453625,0.01186,0.01173,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,60.71636881958971,19.477234401349065,58.690544823614474,2.1247200329271183
1000XECUSDT,2026-04-04 14:00,2026-04-04 14:05,2026-04-04 16:05,HEDGED,88.38026441824742,0.00684,0.00685,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,73.49871538764489,4.532163742690065,6.684868442252194,2.0195018592340186
1000000BOBUSDT,2026-04-05 10:00,2026-04-05 10:05,2026-04-05 12:05,HEDGED,74.1314860095632,0.0116,0.01152,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,41.03241168752705,7.758620689655171,2.2719054117711877,1.5004330444460299
MITOUSDT,2026-04-05 13:00,2026-04-05 13:05,2026-04-05 15:05,HEDGED,87.94883999724557,0.04006,0.03924,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,48.19057333193251,8.96155766350475,10.252239425271947,2.019321872517099
TRUTHUSDT,2026-04-05 16:00,2026-04-05 16:05,2026-04-05 18:05,HEDGED,72.61973375612779,0.009088,0.009117,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,50.84775729064871,4.830545774647889,3.2520727558489697,1.331769875750535
TRUTHUSDT,2026-04-07 01:00,2026-04-07 01:05,2026-04-07 03:05,HEDGED,72.05424318233202,0.009121,0.009163,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,40.03743479629335,4.900778423418479,2.7778210185816934,1.3206075763385086
1000000BOBUSDT,2026-04-07 20:00,2026-04-07 20:05,2026-04-07 22:05,HEDGED,71.98594861861346,0.0124,0.0123,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,48.757251019850045,7.0967741935483915,2.954905392663626,1.1494876310176692
IOUSDT,2026-04-07 23:00,2026-04-07 23:05,2026-04-07 23:35,LONG,72.28915393718353,0.10288672032588754,0.1025,4,False,210.0,-0.7646286401516726,-0.0036410887626270125,0.0,failed-breakout-back-inside-range,True,30.0,180.0,70.14466981992338,6.849315068493143,2.2614425146564443,1.1092396948587426
